,Job Title,Company Name,Location,Salary,Summary
405,Data Analyst - Business Excellence Unit,Fedbank Financial Services Limited,"Mumbai, Maharashtra",Nothing_found,"Drive initiatives to improve data quality, data integration and data governance – financial and non-financial both."
406,Senior Application Scientist,Phenomenex & Agela,"Hyderabad, Telangana",Nothing_found,"Should be able to interpret scientific data including chromatograms, Mass spec data, quantitative results and effectively communicate it to large groups."
407,C09 Data Metrics Analyst,Citi,"Mumbai, Maharashtra",Nothing_found,"The Compliance AML KYC Analyst 1 is an entry-level position responsible for participating in Anti-Money Laundering (AML) monitoring, governance, oversight and…"
408,Machine Learning Scientist,Phenom People,"Hyderabad, Telangana",Nothing_found,"Work closely with Machine Learning Scientists (PhDs), ML engineers, data scientists and data engineers to address challenges head on."
409,Assistant Manager - Reporting and Analytics,Genpact,"Hyderabad, Telangana",Nothing_found,"Analysis – to rigorously and optimal examine large quantities of data and derive insights from these data sets.
Design Data Management and Reporting Tools."
410,Manager - Analytics,Cognizant,"Pune, Maharashtra",Nothing_found,Coordinates in communicating the data needs with both technology and business teams to ensure that right data is captured for analysis and modeling.
411,Sr. Associate Consultant–Data Scientist,Eli Lilly,"Bengaluru, Karnataka",Nothing_found,The E&C Data Scientist must be able to communicate how to use analytics data to drive business decisions through data visualization tools and storytelling.
412,Data Scientist,Merck KGaA,"Bengaluru, Karnataka",Nothing_found,"You will assess data sources and data gathering techniques for effectiveness and accuracy.
You will develop custom data models and algorithms to apply to the…"
413,Senior Analyst-RFT Data Ops,Barclays,"Delhi, Delhi",Nothing_found,"Reconcile Finance and Risk data with authoritative data sources to ensure completeness and accuracy.
Monitor data quality and set up effective data quality MI…"
414,Team Lead Data Scientist,MiQ Digital,"Bengaluru, Karnataka",Nothing_found,"Lead and mentor a team of data scientists.
6+ years of experience in solving data science problems using machine learning, data mining algorithms and big data…"
415,Data Scientist,ScaleIn,"Bengaluru, Karnataka",Nothing_found,"Implement and support data discovery and predictive analytics models by analyzing business data.
Ability to design the models to work on small to very large…"
416,Architect I - Data Science,Philips,"Bengaluru, Karnataka",Nothing_found,"Excellent knowledge of various data science, AI algorithms.
Strong passion for empirical research and for answering hard questions with data."
417,"Customer Engineer, Machine Learning",ANI Calls India Private Limited,"Hyderabad, Telangana","₹9,00,000 - ₹16,00,000 a year",Experience in and understanding data and information management - especially as it relates to big data trends and issues within businesses.
418,Trainer (Data science) Internship,Industry360,"Faridabad, Haryana","₹7,000 - ₹12,000 a month","Industry360 is an industrial approach toward data science and analytics.
Curating content for data science as self-paced videos 2."
419,Machine Learning-data Scientist,Saffron Consultancy Services,"Pune, Maharashtra","₹20,00,000 - ₹22,50,000 a year","Knowledge on big data systems like Hadoop, Spark, spark ML, H2O, Tensorflow, Keras, etc.
Machine Learning â€“ Data Scientist."
420,Data Scientist,Clinton Health Access Initiative,"New Delhi, Delhi",Nothing_found,"Proactively develop guidelines and policy for data management, audit mechanisms, best practices and data sharing, including relevant methodology for data…"
421,Data Scientist,Applied Materials Inc.,"Bengaluru, Karnataka",Nothing_found,"Apply Unix Shell scripting skill in data anomaly detection and correction.
Acquire, cleanse, organize and mine massive volumes of data (sensor/system log) using…"
422,DATA SCIENTIST,Inference Labs,"Bengaluru, Karnataka",Nothing_found,"Monitors and continuously improves the data sources, usability and data.
We are looking for experienced data scientists with strong advanced analysis and…"
423,RA - Data Analyst/ Scientist,Indian School of Business,"Hyderabad, Telangana",Nothing_found,"Design, develop and implement data science and business analytics models for problem solving.
Analyze and evaluate research and interpret data, making sure that…"
424,AI/ML engineers,albanero,"Hyderabad, Telangana",Nothing_found,"Location: Hyderabad, India; Denver/SanJose, USA.
What we are looking for:
3+ years relevant experience in the industry/academia in machine learning."
425,Data Science Engineer,Involvio,"Bengaluru, Karnataka",Nothing_found,"Extending company's data with third party sources of information when needed.
Enhancing data collection procedures to include information that is relevant for…"
426,Principal Data Scientist,Britive,"Bengaluru, Karnataka",Nothing_found,You have a strong data science and cybersecurity background and understand the use of a variety of data mining and data analysis methods to build and implement…
427,Lead Data Scientist,EagleView,"Bengaluru, Karnataka",Nothing_found,"Professional Experience: 6 - 9 years.
Tech (Optional), B.Sc./M.Sc., Computer Science, Maths,Statistics or equivalent field, PhD (Optional)."
428,Director Data science,Novartis,"Hyderabad, Telangana",Nothing_found,20 petabytes of data across 30 data domain across the whole bio-pharma value chain waiting for you to unlock the next breakthrough in medicine.
429,Senior Data Scientist,Ellie Mae,"Pune, Maharashtra",Nothing_found,"Conduct advanced data analysis and highly complex designs algorithm.
Experience with common data science toolkits, such as Sklearn, NumPy and MLib."
430,Data Scientist Intern,zBliss Technologies,"Bengaluru, Karnataka",Nothing_found,"Diligence and accuracy in coding and data analysis.
Internship Cohort Team Size : 3.
Apply only if you can work full time at least for Five Months."
431,Senior Data Analyst,Epsilon India,"Bengaluru, Karnataka",Nothing_found,"Master and perform all steps required to create analysis-ready data sets; including data integration/merging (SAS data step), variable preparation, and quality…"
432,Data Research Analyst,Morningstar,"Mumbai, Maharashtra",Nothing_found,Collecting and analyzing equity fundamentals data for Global market and taking ownership in data quality controls to ensure consistent and high quality data are…
433,Analyst - Collaboration Administrator and Data Analyst,Ciena,"Gurgaon, Haryana",Nothing_found,"Review system data, scrub and create reports.
Do you enjoy looking at data and uncovering the mysteries that lie just under the surface?"
434,Data Developer and Machine Learning Analyst,NetApp,"Bengaluru, Karnataka",Nothing_found,Are you excited about data analytics & deriving insights from petabytes of data using modern machine learning techniques?
435,Data Scientist,BlueJeans,"Bengaluru, Karnataka",Nothing_found,"In your role as data scientist you will :
Very strong SQL and data visualization.
Collaborate with subject matter experts to determine relevant data sources."
436,Data Analyst,Moody's Corporation,"Bengaluru, Karnataka",Nothing_found,"The role comprises a wide range of tasks including business and process analysis, data extraction, interpretation and analysis as well as the generation and…"
437,Data Analyst,Zap Tech Private Limited,"Pune, Maharashtra","₹2,40,000 - ₹3,40,000 a year","Identifying patterns and trends in data sets.
Defining new data collection and analysis processes.
Experience in data models and reporting packages."
438,Stat Scientist,IQVIA,"Thane, Maharashtra",Nothing_found,"Provide expert input into data management deliverables (i.e. database design, validation checks and critical data).
Oversees team with same expectations."
439,"Senior Data Analyst, DBXB",Dun & Bradstreet,"Hyderabad, Telangana",Nothing_found,"Help prioritize work, train, guide and mentor to ensure team happiness and efficiency Key Requirements • Bachelor’s degree in computer science, data science,…"
440,Senior Staff Flood Data Scientist,One Concern,"Alwal, Hyderabad, Telangana",Nothing_found,"Collaborate with an interdisciplinary team of software engineers and data scientists on cross-functional projects, interpreting data, and translating into…"
441,Machine Learning Engineer,NTT DATA Global Delivery Services Limited,India,Nothing_found,"NTT DATA Services strives to hire exceptional, innovative and passionate individuals who want to grow with us.
2 < years <5 of relevant experience."
442,Data Processing Analyst I,Arrow Electronics,"Delhi, Delhi",Nothing_found,"Identifies and resolves key issues and patterns from partial/conflicting data.
Involved during the different data development stages, including but not limited…"
443,Data Engineer: Advanced Analytics,IBM,Bihar,Nothing_found,"At IBM, work is more than a job - it's a calling: To build.
To think along with clients and sell.
Not just to do something better, but to attempt things you've…"
444,Data Scientist - Job Code(NLP-18),UVJ Technologies Private Limited,India,Nothing_found,"Sound experience in AI, Natural language processing, Machine Learning.
Experience in Language Modelling, POS tagging, PCFG, Named Entity Recognition, Co…"
445,Senior Data Scientist,Morningstar,"Mumbai, Maharashtra",Nothing_found,"Improve complex data flow, data structures and db design to move to next platform.
Familiarity with common data cleaning and munging techniques."
446,Senior Machine Learning,WAVELABS TECHNOLOGIES,"Hyderabad, Telangana",Nothing_found,"Wavelabs is an AI-First, new-age Technology company for the Digital, Cognitive & Industry 4.0 Era.
We help you rethink and reinvent, while adapting to the…"
447,Machine Learning Engineer,Brightleaf Solutions,"Pune, Maharashtra",Nothing_found,"Exceptional command on entity extraction from unstructured data using NLTK, SpaCy, BERT, PyTorch, and other packages.
Exposure to Python Django or Python Flask."
448,Sr. Machine Learning Engineer,IDfy,"Mumbai, Maharashtra",Nothing_found,"You are a mid-career machine learning engineer (or data scientist).
Years of experience in data science.
In this role you will:
Other things to keep in mind."
449,Head - Data Analytics,Della By Jimmy Mistry,"Mumbai, Maharashtra",Nothing_found,"2.Oversees all activities of data analytics and data warehousing.
3.Have a strong data warehouse for enabling a culture of decision making through data…"
450,Senior Data Scientist,skilora,Remote,Nothing_found,"All the data collected from the users would be used only for recruitment purposes.
You as a Data Scientist in the team will try to make sense out of a vast…"
451,Data Science Analyst,Microsoft,"Hyderabad, Telangana",Nothing_found,"3+ years of experience as a data scientist or analysts.
Experience working as a data scientist or Analyst in HR, Finance, Legal or compliance departments."
452,"Sr. Data Science & AI Engineer (Java,Python)",iCliniq,Remote,Nothing_found,"We are looking for Sr. Data Science & AI Engineers who are passionate in developing Machine Intelligent Applications using Java, Python, Neo4J and deep learning…"
453,Principal Data Scientist - Remote,Icertis,"Pune, Maharashtra",Nothing_found,"Define the variables and their inter-relationships and extract the data from our data repositories,leveraging infrastructure including Cloud computing solutions…"
454,Machine Learning,nividous,"Ahmedabad, Gujarat",Nothing_found,"Machine Learning (Ahmedabad & Mumbai, India).
Nividous is looking for a Machine Learning Developer.
Work with a team lead/product manager to understand business…"
455,Software Engineer Data Science (SQL & Python),SAP,"Bengaluru, Karnataka",Nothing_found,"Lead/contribute to engineering efforts from design to implementation of data extraction pipelines (ETL).
Be a core part of the SAP GS Concur’s Data Science Team…"
456,Customer Analytics – Data Scientist,TATA Consultancy Services Ltd.,"Bengaluru, Karnataka",Nothing_found,"Knowledge of Spark, Yarn, other big data technologies.
Ability to manipulate unstructured data to form insights about the business."
457,Senior Data Scientist- AI,Lymbyc Solutions,"Bengaluru, Karnataka",Nothing_found,"We have created the world’s first data scientist, Leni, capable of understanding plain English queries from user, and autonomously being able to take decisions…"
458,Data Scientist,BookMyShow,"Mumbai, Maharashtra",Nothing_found,"Will Perform data analysis by integrating different data sources.
Passionate about everything around data.
Understanding business problems and addressing them…"
459,Deep Learning Intern,Flixstock,"Gurgaon, Haryana",Nothing_found,"Learning data visualization methodologies and understanding data augmentation techniques.
Understanding of data structures, data modeling, and software…"
460,Machine Learning,XenonStack,"Mohali, Punjab",Nothing_found,"In this position, we are looking for a person who can innovate, design, analyze, evaluate, architect, implement and tune complex algorithms and ML models…"
461,AI NLP ENGINEER,NLPBOTS,"Pune, Maharashtra",Nothing_found,"Software engineer with experience in NLP and Machine Learning.
You will join our team of NLP, ML experts to work on our cutting edge AI NLP Product, building…"
462,"Sr Analyst, Data Science and Analytics",TransUnion,"Chennai, Tamil Nadu",Nothing_found,"We provide a modern computing environment based on best-in-class ""big data"" and cloud computing technologies and the freedom to explore new data sources and…"
463,Data Science Specialist,Great Learning,"Gurgaon, Haryana",Nothing_found,"Good understanding of what analytics is - from data to decisions.
Ability to design approaches to solve a problem using data analysis techniques."
464,Machine Learning Engineer,Doxel,India,Nothing_found,"Doxel has a distributed infrastructure to capture physical data via LIDAR scanners.
You are an expert in perception algorithms and can turn all of this raw data…"
465,Business Analyst - Data Science,Gartner,"Gurgaon, Haryana",Nothing_found,"Apply ML methodologies to streamline data applications and realize productivity gains.
Develop predictive models based on behavioral and transactional client…"
466,AI Engineer,Bobble AI,"Kathivakkam, Chennai, Tamil Nadu",Nothing_found,"Closely analyse the platform and all forms of data generated, and propose data collection adhering to strict data policies in place."
467,Sr Engineer - Big Data Engineer,seagatetec,"Pune, Maharashtra",Nothing_found,"Solid technical skills with a proven and successful history working with data at scale and empowering organizations through data.
About the role - you will:"
468,Natural Language Processing Internship,Lawnics Technologies Private Limited,"Jaipur, Rajasthan","₹2,000 - ₹5,000 a month","Handling data scraping, cleaning, organizing and analyzing 2.
Using statistical, rule-based, machine learning, deep learning and other data science techniques…"
469,Applied Scientist (Machine Learning),3rd.Life,India,Nothing_found,"Strong grasp of machine learning, data mining and data analytics techniques.
Should have a clear understanding of data model, Mongodb and non SQL."
470,Data Scientist,Shri TirupatiI Balaji Education Foundation,"Bengaluru, Karnataka",Nothing_found,"Candidate will be trained during job for 5 months and then placed in MNC,s.
This can be done online.
Candidates from batch 2018, 2019, 2020 are preferred."
471,Data Science Engineer,Mystro,"Mumbai, Maharashtra",Nothing_found,Building advanced ML models for statement processing and transaction data processing on top of existing technology stack for understanding Customers better and…
472,Senior Data Scientist - Credit risk,Scienaptic Systems,"Bengaluru, Karnataka",Nothing_found,"The chosen candidate will be responsible for developing all aspects of data mining, predictive analytic, solution development to name a few."
473,CB - Vice President Data Science,"JPMorgan Chase Bank, N.A.","Bengaluru, Karnataka",Nothing_found,"Lead initiatives that leverage our data assets to generate insights through hands-on data science techniques.
A strong passion for analytics with proven ability…"
474,Lead Data Scientist,freshworks,"Bengaluru, Karnataka",Nothing_found,"Freshworks also offer diverse kinds of data.
We have data on both voice and texts.
For eg. Several millions of minutes of audio data is available for our…"
475,Junior Manager,Syngene,"Bengaluru, Karnataka",Nothing_found,Its innovative culture is driven by the passion of its 4240- strong team of scientists who work with clients from around the world to solve their scientific…
476,data engineer,CRED,"Bengaluru, Karnataka",Nothing_found,"Work with analytics and data scientist team members that assist them in productionizing their models.
Work with data and analytics experts to strive for greater…"
477,Senior Data Analyst,SourceGain Consulting Pvt. Ltd.,"Delhi, Delhi",Nothing_found,"A passion for data, with a particular emphasis on data visualization.
Work alongside global teams to solve data-intensive problems using standard analytical…"
478,SE/SSE - Python + Artificial Intelligence + Machine Learning + NLP,TDG,"Pune, Maharashtra",Nothing_found,"Work Timings - 12:30 PM - 09:30 PM.
Python, Artificial Intelligence, Machine Learning, NLP, NLU, Deep Learning, TensorFlow, Keras, SpaCy, NLTK, Image processing…"
479,Associate Scientist,GVK Biosciences,"Hyderabad, Telangana",Nothing_found,"Maintain records, data integrity and IP confidentiality:
Analyze analytical data, comprehend results and identify the issues."
480,FI Data Analytics and Risk Management,Drishtee Development And Communication Ltd.,"Varanasi, Uttar Pradesh",Nothing_found,"Understanding and managing risk through data.
Data Analytics and Risk Management.
1.Monitor key business metrics and support the team with key."
481,"Data, Analytics, and AI Lead",Levi Strauss & Co.,"Bengaluru, Karnataka",Nothing_found,"Team management : Responsible for initial team of two data scientists (medium to high professional level), likely to grow to approximately four data scientists,…"
482,Computer Vision Research Engineer - Machine Learning,Mercedes-Benz Research and Development India Priva...,"Bengaluru, Karnataka",Nothing_found,"Experience working with synthetic and artificial data to solve real world problems.
Experience with object classification, gesture recognition or human pose…"
483,Group Leader – Immunology / Inflammation (In-vitro Biology),Jubilant Biosys,"Bengaluru, Karnataka",Nothing_found,"Meticulous organization skills with regards to planning, executing, reviewing and interpreting data.
Leading a team of 4-5 scientists involved in Identifying…"
484,Data Analyst,RCPC,"Nagpur, Maharashtra",Nothing_found," Taste for data processing.
 Advocate for data integrity.
Ability to interpret basic financial data.
 Ensure data quality and consistency in BI Tools."
485,Lead Data Scientist,Thoucentric,"Bengaluru, Karnataka",Nothing_found,"Lead and guide a team of data scientists/ML engineers in solutioning and in delivering high impact projects.
If you love solving tough problems using analytics,…"
486,Lead Data Scientist,Aleron,"Bengaluru, Karnataka",Nothing_found,"Supervise delivery of ongoing projects, build and lead a team of analysts/data engineers/data scientists to continuously grow this function."
